iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
1,0.403585954
2,0.403984204
3,0.429830833
4,0.475440405
5,0.504885851
6,0.386975271
7,0.424563643
8,0.450652435
9,0.515121412
10,0.576694184
11,0.523205339
12,0.590621972
13,0.537017135
14,0.603157992
15,0.553897953
16,0.595800849
17,0.567083931
18,0.618369009
19,0.627855731
20,0.63328292
21,0.631886725
22,0.627546206
23,0.63214648
24,0.56655349
25,0.615731007
26,0.619301717
27,0.619381264
28,0.661624501
29,0.671695156
30,0.687172544
31,0.690077521
32,0.669085188
33,0.669097437
34,0.669117559
35,0.669302811
36,0.669815044
37,0.670331942
38,0.670850897
39,0.670999438
40,0.671473721
41,0.671953999
42,0.672445447
43,0.672904266
44,0.673360432
45,0.673806337
46,0.674244305
47,0.674683127
48,0.675098849
49,0.675523454
50,0.675915149
51,0.676323258
52,0.676702783
53,0.677100048
54,0.677454517
55,0.677827157
56,0.678194205
57,0.678528898
58,0.678888116
59,0.679189399
60,0.679547509
61,0.679869118
62,0.68015573
63,0.680487608
64,0.680764273
65,0.681071388
66,0.681341222
67,0.681646044
68,0.692483728
69,0.702317625
70,0.702436306
71,0.701483435
72,0.689342588
73,0.687821803
74,0.687428955
75,0.688012923
76,0.688006972
77,0.688745919
78,0.701561694
79,0.67444286
80,0.708075196
81,0.709633801
82,0.685417687
83,0.695948523
84,0.696943813
85,0.696915225
86,0.710768802
87,0.680828864
88,0.668962849
89,0.650211662
90,0.631831401
91,0.622616804
92,0.612356155
93,0.612362608
94,0.613645908
95,0.666805869
96,0.680365299
97,0.709212984
98,0.714908874
99,0.701422687
100,0.701832502
101,0.703089624
102,0.704973599
103,0.67634553
104,0.698102392
105,0.699636327
106,0.70036507
107,0.700572582
108,0.700701472
109,0.712307833
110,0.712525787
111,0.71286461
112,0.712040788
113,0.71603886
114,0.730148288
115,0.731818169
116,0.719735488
117,0.719575227
118,0.720436585
119,0.722534784
120,0.722877041
121,0.725351897
122,0.73203793
123,0.719811766
124,0.721636805
125,0.724855279
126,0.725870802
127,0.726079822
128,0.721444467
129,0.727377108
130,0.728755234
131,0.739592355
132,0.742049779
133,0.736703972
134,0.734480133
135,0.7258733
136,0.718906512
137,0.718091393
138,0.715540105
139,0.723106608
140,0.728712816
141,0.73153949
142,0.731561696
143,0.733684338
144,0.74714717
145,0.747628629
146,0.733580976
147,0.736390259
148,0.74415612
149,0.753484779
150,0.751066881
151,0.751159087
152,0.763167972
153,0.753496791
154,0.7552802
155,0.754255341
156,0.741282817
157,0.746110944
158,0.75076135
159,0.750936948
160,0.751122886
161,0.736965955
162,0.744802991
163,0.745111613
164,0.745206089
165,0.745358719
166,0.750771219
167,0.750779788
168,0.750781429
169,0.750967322
170,0.751207904
171,0.75147072
172,0.751881992
173,0.752315565
174,0.752775905
175,0.75319173
176,0.753598877
177,0.753956495
178,0.75434362
179,0.754686146
180,0.75504941
181,0.755394858
182,0.755703884
183,0.756039491
184,0.756339819
185,0.756639564
186,0.756931146
187,0.757184854
188,0.757476288
189,0.757725673
190,0.7579865
191,0.758205035
192,0.758453795
193,0.758657625
194,0.758884574
195,0.759195145
196,0.737374776
197,0.749747537
198,0.75516721
199,0.755327034
200,0.755463194
201,0.755565588
202,0.76057961
203,0.746653493
204,0.752765077
205,0.753004382
206,0.75303151
207,0.753085952
208,0.753252854
209,0.764861701
210,0.764200414
211,0.753482559
212,0.758382239
213,0.75856103
214,0.758701571
215,0.758693074
216,0.765858255
217,0.755270589
218,0.760407889
219,0.760518631
220,0.767534016
221,0.768933196
222,0.769039255
223,0.768992439
224,0.760928355
225,0.764479493
226,0.764616235
227,0.7645916
228,0.767836918
229,0.767879959
230,0.767936743
231,0.767916502
232,0.77182755
233,0.765024115
234,0.766090815
235,0.768546031
236,0.768540745
237,0.768563407
238,0.768575115
239,0.772461225
240,0.770738941
241,0.762209131
242,0.769675173
243,0.769607478
244,0.769591471
245,0.773502909
246,0.775951804
247,0.777307629
248,0.777154746
249,0.777683331
250,0.775205793
251,0.775761956
252,0.770932395
253,0.772634448
254,0.77347157
255,0.773416535
256,0.773475693
257,0.773477704
258,0.773484075
259,0.773482209
260,0.773617184
261,0.774060985
262,0.774226847
263,0.774610424
264,0.774855011
265,0.775093352
266,0.775328459
267,0.775567978
268,0.775792701
269,0.778142429
270,0.774305573
271,0.775878888
272,0.775940888
273,0.775972878
274,0.775969822
275,0.775969852
276,0.775957103
277,0.776014459
278,0.776034689
279,0.776047066
280,0.776001496
281,0.775982353
282,0.776096364
283,0.776359884
284,0.776588931
285,0.776491533
286,0.776654079
287,0.776976014
288,0.77732225
289,0.777602999
290,0.777873147
291,0.770344527
292,0.773218711
293,0.773809842
294,0.77434711
295,0.774424071
296,0.774565275
297,0.774579068
298,0.774573639
299,0.774586104
300,0.774599429
301,0.774609382
302,0.774613486
303,0.774627748
304,0.774635105
305,0.774638471
306,0.774647891
307,0.774668804
308,0.774689803
309,0.774710664
310,0.774706605
311,0.774705456
312,0.774843787
313,0.775072804
314,0.775262408
315,0.775419004
316,0.775552653
317,0.775669152
318,0.775772097
319,0.775864003
320,0.776450328
321,0.777006962
322,0.777719226
323,0.778360961
324,0.773663212
325,0.7741957
326,0.7752975
327,0.775804071
328,0.775952753
329,0.776097308
330,0.776181408
331,0.776170538
332,0.776170762
333,0.776148236
334,0.776234316
335,0.77623462
336,0.776240875
337,0.776272565
338,0.776322962
339,0.776348787
340,0.776383175
341,0.776400917
342,0.776450949
343,0.776467239
344,0.77648656
345,0.776521592
346,0.776545592
347,0.776567457
348,0.776586273
349,0.776613304
350,0.776642936
351,0.776659426
352,0.776658159
353,0.776678556
354,0.776684871
355,0.776694719
356,0.776690511
357,0.776712553
358,0.776859295
359,0.772102982
360,0.773215635
361,0.774389058
362,0.774340152
363,0.774341309
364,0.774334251
365,0.774324318
366,0.774343666
367,0.774365416
368,0.774354481
369,0.774353577
370,0.774356162
371,0.774358161
372,0.774368681
373,0.774355978
374,0.774356993
375,0.774358302
376,0.774359439
377,0.774360764
378,0.774362536
379,0.774493275
380,0.774742811
381,0.774952958
382,0.775128583
383,0.775279926
384,0.775413004
385,0.775531523
386,0.77563805
387,0.775734497
388,0.775822358
389,0.775902838
390,0.775976925
391,0.776045441
392,0.776109075
393,0.776168409
394,0.776223938
395,0.776276082
396,0.776325202
397,0.777017834
398,0.778562646
399,0.775528255
400,0.776696117
401,0.777277492
402,0.777251935
403,0.778721935
404,0.778694499
405,0.779548579
406,0.780033371
407,0.77622457
408,0.776610055
409,0.77662012
410,0.776986594
411,0.777182581
412,0.777257237
413,0.777266946
414,0.777287904
415,0.77727596
416,0.779820107
417,0.780030873
418,0.780218665
419,0.780469334
420,0.781257074
421,0.779640332
422,0.78078231
423,0.780776068
424,0.780741314
425,0.781381241
426,0.780943645
427,0.781743415
428,0.782032189
429,0.778728357
430,0.779450779
431,0.780792557
432,0.780811433
433,0.780786676
434,0.780798113
435,0.780816205
436,0.780814088
437,0.780829853
438,0.780937708
439,0.781213875
440,0.781239425
441,0.781238779
442,0.781459725
443,0.780013586
444,0.780678452
445,0.780681467
446,0.78067108
447,0.780669128
448,0.77643834
449,0.776690198
450,0.777524855
451,0.777502849
452,0.77750505
453,0.777486241
454,0.777486759
455,0.777495954
456,0.777488565
457,0.777490613
458,0.777494083
459,0.777496267
460,0.777496084
461,0.781110159
462,0.781541079
463,0.781602297
464,0.781635675
465,0.781647703
466,0.7808946
467,0.781277426
468,0.779285424
469,0.779392506
470,0.779986292
471,0.780418786
472,0.78041109
473,0.780412518
474,0.780415128
475,0.780412421
476,0.780412031
477,0.780418731
478,0.780415832
479,0.780412359
480,0.780413115
481,0.781812738
482,0.782207241
483,0.779545577
484,0.779727806
485,0.780377845
486,0.780402301
487,0.780416929
488,0.780419666
489,0.780423018
490,0.780418106
491,0.78042077
492,0.780421948
493,0.78042085
494,0.780421445
495,0.780421709
496,0.780421831
497,0.780420922
498,0.780420503
499,0.780421233
500,0.780420933
501,0.781144608
502,0.781477352
503,0.779512733
504,0.779812571
505,0.779968333
506,0.779957916
507,0.77996033
508,0.779960344
509,0.779956416
510,0.77995725
511,0.779958316
512,0.779958425
513,0.779957431
514,0.779956205
515,0.779961593
516,0.779967807
517,0.779967005
518,0.780093196
519,0.780283026
520,0.780399553
521,0.780500999
522,0.780580266
523,0.780645486
524,0.780700182
525,0.780878593
526,0.78103803
527,0.78114635
528,0.781227009
529,0.781391101
530,0.781553553
531,0.781614688
532,0.781685541
533,0.781742154
534,0.7817913
535,0.781835182
536,0.781873955
537,0.781910104
538,0.781943091
539,0.781974111
540,0.782001877
541,0.782029386
542,0.782036974
543,0.782074118
544,0.782101405
545,0.782108921
546,0.782141867
547,0.782150797
548,0.782179364
549,0.782186352
550,0.782214343
551,0.782221501
552,0.782243356
553,0.782247039
554,0.782272397
555,0.782276607
556,0.782300206
557,0.782304585
558,0.782324108
559,0.7823265
560,0.78234762
561,0.782350539
562,0.782369895
563,0.782372537
564,0.782390071
565,0.782391789
566,0.782409397
567,0.782411018
568,0.782427413
569,0.782428522
570,0.782444955
571,0.782446192
572,0.782459584
573,0.782458983
574,0.78247375
575,0.782472931
576,0.782488576
577,0.782488514
578,0.782502185
579,0.782501758
580,0.782515337
581,0.78251536
582,0.7825268
583,0.7825259
584,0.782534036
585,0.782545462
586,0.782545611
587,0.78255484
588,0.782553746
589,0.782561045
590,0.782569285
591,0.782567436
592,0.782574486
593,0.782585424
594,0.782591255
595,0.782589025
596,0.782595281
597,0.782601028
598,0.78259876
599,0.782605143
600,0.782614529
601,0.782613581
602,0.782619527
603,0.782623874
604,0.78262771
605,0.782636239
606,0.78263449
607,0.78263984
608,0.782643763
609,0.782641088
610,0.782646683
611,0.782655018
612,0.782653512
613,0.782658743
614,0.782664693
615,0.782669161
616,0.782675771
617,0.782671394
618,0.782675685
619,0.782679004
620,0.782675923
621,0.78268102
622,0.782691152
623,0.782689248
624,0.782693776
625,0.782690867
626,0.782695732
627,0.782703879
628,0.782702646
629,0.78270772
630,0.782704974
631,0.782709591
632,0.782716682
633,0.782722352
634,0.782718701
635,0.782722703
636,0.782726624
637,0.782733269
638,0.78273029
639,0.782733304
640,0.782731227
641,0.782735272
642,0.782741847
643,0.782748136
644,0.782745929
